City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Saint-Georges,GD,2021-02-02 21:37:58,12.0564,-61.7485,82.4,69,20,23.02
193,Toamasina,MG,2021-02-02 21:33:20,-18.1667,49.3833,75.2,94,40,4.61
194,Haapsalu,EE,2021-02-02 21:37:59,58.9431,23.5414,24.01,91,100,5.01
195,Vardo,NO,2021-02-02 21:37:59,70.3705,31.1107,24.8,93,90,25.32
196,Beloha,MG,2021-02-02 21:37:59,-25.1667,45.05,77.9,85,22,11.86
197,Panikian,PH,2021-02-02 21:38:00,7.0107,126.0242,75.2,100,75,3.44
198,Margate,GB,2021-02-02 21:34:19,51.3813,1.3862,51.01,85,65,5.99
199,Balgazyn,RU,2021-02-02 21:38:00,51.0,95.2,-4.86,85,1,1.7
200,Isangel,VU,2021-02-02 21:38:00,-19.55,169.2667,84.2,74,40,20.71
201,Omsukchan,RU,2021-02-02 21:38:01,62.5333,155.8,-29.51,82,100,6.29
202,Kalengwa,ZM,2021-02-02 21:38:01,-13.4659,25.0027,64.89,97,100,4.54
203,Maceio,BR,2021-02-02 21:33:36,-9.6658,-35.7353,75.2,94,0,11.5
204,Zhirnovsk,RU,2021-02-02 21:38:02,50.9845,44.7735,35.42,97,100,3.53
205,Ust-Uda,RU,2021-02-02 21:38:02,54.1742,103.0304,-8.57,89,100,3.4
206,Qaqortoq,GL,2021-02-02 21:38:03,60.7167,-46.0333,23.0,58,90,3.44
207,Saint Anthony,US,2021-02-02 21:38:03,45.0205,-93.218,26.01,80,90,8.05
208,Hibbing,US,2021-02-02 21:38:03,47.4272,-92.9377,23.0,79,90,12.66
209,Weihai,CN,2021-02-02 21:38:04,37.5017,122.1136,27.61,79,0,9.69
210,Carnarvon,AU,2021-02-02 21:38:04,-24.8667,113.6333,73.4,100,100,21.85
211,Tacuarembo,UY,2021-02-02 21:38:04,-31.7333,-55.9833,77.31,80,33,5.44
212,Boddam,GB,2021-02-02 21:38:05,57.4667,-1.7833,39.2,70,75,19.57
213,Coahuayana,MX,2021-02-02 21:38:05,18.7333,-103.6833,86.0,42,40,6.91
214,Teahupoo,PF,2021-02-02 21:38:05,-17.8333,-149.2667,86.0,62,40,9.22
215,Sao Filipe,CV,2021-02-02 21:38:05,14.8961,-24.4956,73.72,72,0,8.32
216,Barra Patuca,HN,2021-02-02 21:38:06,15.8,-84.2833,75.09,71,14,16.89
217,Kyrksaeterora,NO,2021-02-02 21:38:06,63.2906,9.0891,21.2,79,20,14.97
218,Certegui,CO,2021-02-02 21:38:06,5.3707,-76.6044,82.67,88,87,1.72
219,Shihezi,CN,2021-02-02 21:38:07,44.3,86.0333,15.89,96,100,2.8
220,Dhidhdhoo,MV,2021-02-02 21:38:07,6.8833,73.1,81.34,70,0,1.61
221,Gayeri,BF,2021-02-02 21:38:07,12.6497,0.4931,74.46,16,0,8.9
222,Souillac,MU,2021-02-02 21:38:07,-20.5167,57.5167,80.6,74,75,11.5
223,Dingle,PH,2021-02-02 21:38:08,10.9995,122.6711,73.56,92,100,8.28
224,Luganville,VU,2021-02-02 21:38:08,-15.5333,167.1667,83.61,70,31,2.06
225,Okulovka,RU,2021-02-02 21:38:08,58.4008,33.2908,19.44,95,100,7.56
226,West Bay,KY,2021-02-02 21:38:09,19.3667,-81.4167,77.0,53,75,11.5
227,Ponta Do Sol,PT,2021-02-02 21:38:09,32.6667,-17.1,61.0,70,54,1.99
228,Apatity,RU,2021-02-02 21:38:09,67.5641,33.4031,9.64,94,27,5.3
229,Loralai,PK,2021-02-02 21:38:10,30.3705,68.598,45.37,50,1,7.96
230,Kruisfontein,ZA,2021-02-02 21:38:10,-34.0033,24.7314,66.99,86,0,6.82
231,Nalagarh,IN,2021-02-02 21:38:11,31.05,76.7167,56.55,36,56,5.39
232,Sinnai,IT,2021-02-02 21:38:11,39.3042,9.2036,55.99,94,0,10.36
233,Pucallpa,PE,2021-02-02 21:34:16,-8.3791,-74.5539,89.6,58,40,10.36
234,Hirara,JP,2021-02-02 21:38:12,24.8,125.2833,63.88,72,90,23.4
235,Tehachapi,US,2021-02-02 21:38:12,35.1322,-118.449,64.0,46,9,5.01
236,Ostrovnoy,RU,2021-02-02 21:38:12,68.0531,39.5131,24.42,95,100,17.4
237,Callaway,US,2021-02-02 21:38:12,30.153,-85.5699,55.99,30,1,16.11
238,Gorontalo,ID,2021-02-02 21:38:13,0.5412,123.0595,75.04,89,98,2.71
239,Abnub,EG,2021-02-02 21:38:13,27.2696,31.1511,59.0,63,0,6.91
240,Loreto,MX,2021-02-02 21:35:45,22.2667,-101.9667,74.23,20,99,5.86
241,Chuy,UY,2021-02-02 21:38:13,-33.6971,-53.4616,76.1,80,64,7.56
242,Borovskoy,KZ,2021-02-02 21:38:14,53.8,64.15,33.1,97,100,19.95
243,Naryan-Mar,RU,2021-02-02 21:38:14,67.6713,53.087,10.51,95,100,12.06
244,Belaya Gora,RU,2021-02-02 21:38:14,68.5333,146.4167,-26.86,86,60,2.66
245,Seymchan,RU,2021-02-02 21:38:15,62.8833,152.4333,-24.72,84,100,3.02
246,Norman Wells,CA,2021-02-02 21:38:15,65.282,-126.8329,-18.4,69,75,6.91
247,Aklavik,CA,2021-02-02 21:38:15,68.2191,-135.0107,-25.6,75,20,5.75
248,Gidole,ET,2021-02-02 21:38:15,5.65,37.3667,60.57,35,33,3.36
249,Tiznit,MA,2021-02-02 21:38:16,29.5833,-9.5,66.76,48,100,1.36
250,Ayan,RU,2021-02-02 21:38:16,56.45,138.1667,-26.25,72,100,12.86
251,Korla,CN,2021-02-02 21:38:16,41.7597,86.1469,24.06,82,6,2.13
252,Calama,CL,2021-02-02 21:38:17,-22.4667,-68.9333,77.0,15,0,20.71
253,Waggaman,US,2021-02-02 21:38:17,29.9185,-90.2109,57.0,41,75,10.36
254,Bandar-E Lengeh,IR,2021-02-02 21:38:17,26.5579,54.8807,62.6,77,1,3.42
255,Lokosovo,RU,2021-02-02 21:38:18,61.1333,74.8167,14.61,97,100,4.61
256,Fort-Shevchenko,KZ,2021-02-02 21:38:18,44.5086,50.263,45.77,76,99,20.33
