City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
278,Saint Anthony,45.0205,-93.218,8.6,66,90,17.27,US,overcast clouds
279,Mastic Beach,40.7668,-72.8521,41.0,81,90,10.36,US,overcast clouds
280,Periyanayakkanpalaiyam,11.15,76.9333,77.0,61,20,3.44,IN,haze
281,Verkhnyaya Inta,65.9811,60.3094,-2.11,92,100,6.93,RU,overcast clouds
282,Yuncheng,35.0231,110.9928,45.45,45,0,2.75,CN,clear sky
283,Cayenne,4.9333,-52.3333,82.4,78,75,17.27,GF,broken clouds
284,Shikarpur,27.9571,68.6379,62.6,67,0,3.8,PK,haze
285,Codrington,-38.2667,141.9667,54.84,87,45,12.1,AU,scattered clouds
286,Sao Filipe,14.8961,-24.4956,72.07,70,100,16.15,CV,overcast clouds
287,College,64.8569,-147.8028,-20.99,82,1,5.75,US,clear sky
288,San Policarpo,12.1791,125.5072,80.56,85,81,12.28,PH,broken clouds
289,Turukhansk,65.8167,87.9833,-20.69,88,100,4.74,RU,overcast clouds
290,Tandil,-37.3217,-59.1332,90.0,22,0,3.0,AR,clear sky
291,Harper,4.375,-7.7169,83.41,76,20,10.11,LR,light rain
292,Tottori,35.5,134.2333,43.75,66,100,7.16,JP,overcast clouds
293,Bathsheba,13.2167,-59.5167,82.4,57,75,20.71,BB,broken clouds
294,Ponta Delgada,37.7333,-25.6667,57.2,62,20,16.11,PT,few clouds
295,Goma,-1.6792,29.2228,68.85,74,83,3.15,CD,light rain
296,Hibbing,47.4272,-92.9377,-2.2,71,90,23.02,US,haze
297,Medvezhyegorsk,62.9167,34.4667,6.48,91,100,13.53,RU,overcast clouds
298,Lagoa,39.05,-27.9833,55.83,76,82,15.23,PT,broken clouds
299,Lavrentiya,65.5833,-171.0,1.99,92,100,16.71,RU,light snow
300,Luderitz,-26.6481,15.1594,77.22,47,0,28.45,NA,clear sky
301,Pokosnoye,55.5258,101.0536,-1.64,93,50,5.3,RU,scattered clouds
302,Faanui,-16.4833,-151.75,80.87,69,80,7.85,PF,broken clouds
303,Mercedes,-34.6515,-59.4307,84.0,48,0,3.0,AR,clear sky
304,Katherine,-14.4667,132.2667,73.4,88,90,6.91,AU,moderate rain
305,Kingsville,27.5159,-97.8561,64.4,55,90,11.5,US,overcast clouds
306,Micheweni,-4.9667,39.8333,81.37,74,0,14.18,TZ,clear sky
307,Khargapur,24.823,79.144,62.87,58,75,3.06,IN,broken clouds
308,Pevek,69.7008,170.3133,-15.38,87,74,2.71,RU,broken clouds
309,Port Said,31.2565,32.2841,64.4,77,40,13.8,EG,scattered clouds
310,Sapele,5.8941,5.6767,96.44,34,60,5.97,NG,broken clouds
311,Plouzane,48.3833,-4.6167,50.0,76,75,6.91,FR,broken clouds
312,Suntar,62.1444,117.6319,-40.29,80,61,1.81,RU,broken clouds
313,Fairbanks,64.8378,-147.7164,-20.99,67,1,3.36,US,clear sky
314,Labuhan,-6.8844,112.2051,79.14,84,99,14.05,ID,overcast clouds
315,Kavaratti,10.5669,72.642,81.46,77,13,11.95,IN,few clouds
316,Datong,40.0936,113.2914,29.89,82,0,6.06,CN,clear sky
317,Vila Velha,-20.3297,-40.2925,91.0,62,20,18.41,BR,light rain
318,Sur,22.5667,59.5289,66.54,65,0,3.18,OM,clear sky
319,Bengkulu,-3.8004,102.2655,77.56,85,81,4.29,ID,broken clouds
320,Ninghai,29.2892,121.4247,57.99,98,90,1.01,CN,overcast clouds
321,Ouadda,8.0777,22.4007,90.05,16,6,6.49,CF,clear sky
322,Awjilah,29.1081,21.2869,65.64,35,0,7.0,LY,clear sky
323,Mweka,-4.85,21.5667,84.79,60,99,1.59,CD,overcast clouds
324,Leh,34.1667,77.5833,7.02,62,4,2.04,IN,clear sky
325,Salmas,38.1973,44.7653,41.0,93,75,2.3,IR,mist
326,Emerald,-23.5333,148.1667,77.0,73,33,10.36,AU,scattered clouds
327,Barcelos,41.5388,-8.6151,53.6,76,40,10.36,PT,light rain
328,Bedele,8.456,36.353,69.22,31,91,2.71,ET,overcast clouds
329,Kambove,-10.8764,26.5969,72.23,90,80,2.06,CD,light rain
330,Tarn Taran,31.45,74.9253,57.2,76,7,1.14,IN,mist
331,Platteville,42.7342,-90.4785,8.6,72,40,19.57,US,scattered clouds
332,Sabha,27.0377,14.4283,71.71,21,13,6.02,LY,few clouds
333,Asheville,35.6009,-82.554,43.0,75,1,12.66,US,clear sky
334,Portland,45.5234,-122.6762,45.0,93,100,5.01,US,overcast clouds
335,Maniitsoq,65.4167,-52.9,14.23,74,28,6.49,GL,scattered clouds
336,Meulaboh,4.1363,96.1285,79.05,79,84,3.42,ID,broken clouds
337,Inhambane,-23.865,35.3833,78.01,88,75,4.61,MZ,broken clouds
338,Port Hardy,50.6996,-127.4199,42.8,87,90,5.75,CA,overcast clouds
339,Vao,-22.6667,167.4833,78.22,87,5,16.98,NC,clear sky
340,Nantucket,41.2835,-70.0995,42.01,87,90,10.36,US,overcast clouds
341,Angoche,-16.2325,39.9086,83.3,77,98,6.04,MZ,overcast clouds
342,Pangnirtung,66.1451,-65.7125,12.2,62,90,11.5,CA,snow
343,Gubkinskiy,64.434,76.5026,-17.25,87,80,5.53,RU,broken clouds
344,Curitibanos,-27.2828,-50.5844,72.09,43,0,8.39,BR,clear sky
345,Anchorage,61.2181,-149.9003,9.0,85,75,4.61,US,light snow
